LIMS code,ODS code
BRAN,L83073
STRA,L82008
LITC,L83035
BIDE,L83083
HOLS,L83069
CAEN,L83097
NORT,L83050
QUEE,L83003
WOOD,L83106
SOUT,L83137
FREM,L83057
CAGS,L83105
WALL,L83025
TORR,L83026
HART,L83129
BLAC,L83663
BRAW,L83012
LYNT,L83068
COMC,L83096
BUDE,Y01127
BOUT,L83139
SHEB,L83121
EAST,L83047
WATE,L83017
WARW,
CHIV,N0101A
ZZZZ4,
DDOC,
COMB,
WOOL,
HATH,L83647
NFREM,
BOSC,
HTOR,
CBAR,
XRS,
WITH,
NEDEN,
BAMP,L83009
FBAR,
OKEH,L83087
i4,
DULV,L85003
NSWIM,
CAME,
FBID,
FILF,
CBID,
WELL,L85012
TREVIEW,
PATH,
CLARE,
CAPL,L83052
LAUN,L82030
ED,
NTAWT,
LIFT,L83608
FHOL,
LUND,
UNKS,
CHOL,
MAU,